CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
التعاقد مع شركه ذات جوده ومعروفه وقويه في السوق ل احترام العميل ووقت العميل,ar,,Positive
اقترح في موضوع النوصيل المنزلي أن تتعاونوا مع شركات نقل جيدة وليست فوضوية تتعامل مع صندوق المنتج وكأنه كيس ملابس,ar,,Neutral
إعطاء ثقة تامه إذا رغب العميل باخد خدمة الصيانة من اكسترا بان اكسترا ستقوم بالصيانة التامة بدون اعذار,ar,,Negative
شكرا جزيلا,ar,,Positive
Availability  of stock,en,,Positive
IT personnel he is accomodating,en,,Positive
Your immediate delivery and your customer service.,en,,Positive
Thank,en,,Positive
base from my experience.. there should a choices for the timing of the delivery,en,,Positive
عمل تخفيضات,ar,,Positive
Onest,fr,,Positive
I am glad,cy,,Positive
Bad service,en,,Negative
كثرت العروض,ar,,Negative
Newly bought phone got corrupted,en,,Negative
عمل عروض افضل بشكل مستمر,ar,,Positive
"طلبت زياره صيانه، اغلق الطلب بدون زياره ولا حتي تواصل و رفعت شكري ولا حيات لمن تنادي",ar,,Negative
Good,so,,Positive
تدريب موظفي خدمة العملاء خاصة البنات لان اسلوبهم غير احترافي في التعامل مع الزبائن وحل مشكلاتهم وعدم احترامهم لزملائهم الشباب في المعرض حيث يكون الشاب معاه زبون وهي تتدخل بصورة غير جيدة واسلوب غير لا ئق تظهر الموظف والزبون لا يفهمون شي,ar,,Negative
More discounts for loyal customers.,en,,Negative
حل مشكلة التكدس والانتظار الطويل عند دفع قيمة المنتجات والفوضى المصاحبة لذلك,ar,,Positive
Tell customers exactly about products,en,,Positive
خفض اسعار المنتجات,ar,,Negative
"اكسترا منصتي الدائمة في شراء الاجهزة الالكترونية، شكرا للأخ أحمد هاشم على طيب تعامله وبشاشة وجهه",ar,,Positive
شكراً لكم,ar,,Positive
كل شي رائع,ar,,Positive
تخفيض سعر الزيارة .. ١٠٠ ريال معقول,ar,,Positive
الخدمه للاسف سيئه ما احد يرد علي جوال خدمه العملاء وتنتظر بالساعات وما احد يرد,ar,,Positive
لي فتره اطلب صيانه ومافيه استجابه,fa,,Negative
سرعة الرد حلوه,ar,,Negative
لاتوجد اي ملاحات,ar,,Negative
Extra,ca,,Positive
شكرا,ar,,Positive
ممتاز,ar,,Positive
لا شي,ar,,Neutral
شكرا لكم,ar,,Positive
تم شراء جهاز واليوم الثاني تم استبداله ونقص من سعره 1500 ريال حتى ماكمل 17 ساعة . الشي الاخر لايوجد رد على الاتصال,ar,,Negative
Charge on replacement,en,,Positive
اقترح خدمات تقسيط اكتر,ar,,Neutral
Faris,de,,Negative
More products,en,,Positive
شكرا لكم,ar,,Positive
الدعم الفني عبر الهاتف يكون متواجد حتى نهاية الاسبوع,ar,,Positive
معقد جداً,ar,,Positive
الرجاء التوضيح قبل التوصيل في حال شامل التركيب او توصيل فقط,ar,,Negative
معكم الالتزام بالموعد ممتاز لانه عامل مهم لرضى العميل في الشركة,ar,,Positive
Thank you for your service,en,,Positive
شكرا,ar,,Positive
اوصي بأن التعامل يكون بأحترافيه مع العملاء,ar,,Positive
ناقل لايقومون بالتوصيل يجبرونك على استلام الطلب من الموقع الذي يقف فيه المندوب,ar,,Negative
"‏توظيف فنيين تركيبات محترفين، وعدم التعامل مع طرف ثالث لانه يسعى بالدرجة الأولى إلى إضافة أعمال غير مطلوبة فعليا",ar,,Negative
nothing,en,,Neutral
Nothing else I was satusfied,en,,Negative
مصارحة العميل وإعطاء الصورة واضحة وليس فرش الورد والالتزام بما تم الاتفاق عليه,ar,,Negative
لا شي,ar,,Neutral
إعطاء زبائن اكسترا المميزين بعض المزايا الاضافية,ar,,Positive
العميل على حق دائما حتى يثبت العكس,ar,,Positive
الاهتمام في مواعيد التوصيل والتركيب,ar,,Positive
شكراً لحسن تعاملكم ولطافتكم ♥️♥️,ar,♥♥,Positive
الموظفين من جنسية عربية  كثيرين الكلام يعتقدون ان هذا تسويق,ar,,Negative
زيادة الخصومات و زيادة اعداد الكاشيرات,ar,,Positive
عروض,ar,,Positive
كل شي تمام👌🏼,ar,👌🏼,Positive
عمل سحب عشوائي على الفواتير كل فتره معينة,ar,,Positive
More discount,it,,Negative
Reduce the price,en,,Negative
الصيانه الفوريه,ar,,Positive
"I would like to win a valuable prize even once, because I have been an old customer since the opening of Extra branches in Riyadh",en,,Positive
التسوق عبر المركز خدمة ممتازه وانجاز سريع,ar,,Positive
1- No variety in the products 2- very slow cashier experience,en,,Negative
staff need to be more aware with what is inside the store,en,,Neutral
Great help choosing products.,en,,Positive
الرجاء مراجعة تقييم اداء مشرف التركيبات لسوء تعامله ورفضه للحديث مع العملاء,ar,,Negative
ممتاز,ar,,Positive
لا يوجد,ar,,Neutral
Provide loyalty program,es,,Positive
لا,ar,,Neutral
شكرا لكم جميع الخدمات والموظفين يعملون بشكل جيد,ar,,Positive
توفير عدد كافي من المسوقين,ar,,Positive
خدمة التوصيل المجاني,ar,,Positive
Very good,af,,Positive
One of technicians they say indoor is having leakage and not good cooling,en,,Negative
Good,so,,Positive
Always ask the payment method from Customer,en,,Positive
kindly support to arrange an erection and connection if possible this week,en,,Positive
