CLEAN_ANSWER,SENTIMENT_HF,SENTIMENT_GEMINI,MATCH
اقترح في موضوع النوصيل المنزلي أن تتعاونوا مع شركات نقل جيدة وليست فوضوية تتعامل مع صندوق المنتج وكأنه كيس ملابس,Neutral,Negative,False
إعطاء ثقة تامه إذا رغب العميل باخد خدمة الصيانة من اكسترا بان اكسترا ستقوم بالصيانة التامة بدون اعذار,Negative,Positive,False
Availability  of stock,Positive,Neutral,False
base from my experience.. there should a choices for the timing of the delivery,Positive,Negative,False
Onest,Positive,Neutral,False
More discounts for loyal customers.,Negative,Positive,False
Tell customers exactly about products,Positive,Negative,False
خفض اسعار المنتجات,Negative,Positive,False
الخدمه للاسف سيئه ما احد يرد علي جوال خدمه العملاء وتنتظر بالساعات وما احد يرد,Positive,Negative,False
سرعة الرد حلوه,Negative,Positive,False
لاتوجد اي ملاحات,Negative,Neutral,False
Extra,Positive,Neutral,False
Charge on replacement,Positive,Negative,False
Faris,Negative,Neutral,False
More products,Positive,Neutral,False
معقد جداً,Positive,Negative,False
الرجاء التوضيح قبل التوصيل في حال شامل التركيب او توصيل فقط,Negative,Neutral,False
اوصي بأن التعامل يكون بأحترافيه مع العملاء,Positive,Negative,False
‏توظيف فنيين تركيبات محترفين، وعدم التعامل مع طرف ثالث لانه يسعى بالدرجة الأولى إلى إضافة أعمال غير مطلوبة فعليا,Negative,Positive,False
مصارحة العميل وإعطاء الصورة واضحة وليس فرش الورد والالتزام بما تم الاتفاق عليه,Negative,Positive,False
العميل على حق دائما حتى يثبت العكس,Positive,Neutral,False
عروض,Positive,Neutral,False
عمل سحب عشوائي على الفواتير كل فتره معينة,Positive,Neutral,False
الصيانه الفوريه,Positive,Neutral,False
staff need to be more aware with what is inside the store,Neutral,Negative,False
Provide loyalty program,Positive,Neutral,False
Always ask the payment method from Customer,Positive,Negative,False
kindly support to arrange an erection and connection if possible this week,Positive,Neutral,False
اقترح ان يكون هناك سياسه واضحه عند شراء المنتجات من ناحيه الصيانه والمده المسموحه، لان ماكنت ادري اني استحق صيانه مجانيه لمره واحده الا بالصدفه.. السبب ان هذا الشيء راح يفيد العميل وراح تزيد مبيعاتكم وتعود بالنفع للطرفين,Neutral,Positive,False
احضار مستلزمات التركيب مثل منظم مدخل المياه و وصلة كهرباء,Positive,Neutral,False
إيجاد عمال توصيل اكثر احترافية وجودة وتعامل جير مع العملاء,Positive,Negative,False
Customer service,Positive,Neutral,False
Customer service,Positive,Neutral,False
الأسعار...شويه صعبه...عشان اغلب فئات المجتمع تقدر تتسوق في اكيترا,Neutral,Negative,False
الاهتمام والتأكد  بتوفير نفس السلع المباعة للعملاء ، وفي حال ان الجهاز لا يعمل بشكل جيد ويحتاج إلى تبديل خلال الفترة المحددة يجد العميل طلبه ولا ينتظر حل مشاكلكم في هذه المواقف شاكر التفهم,Negative,Positive,False
تعليمهم بالاسلوب الافضل للتعامل مع العملاء. كما آمل وضع لوحات الاسم للموظفين بحيث يتم تقييم الموظف علماً ان جميع الموظفين اللي تعاملت معهم غير مهنيين وينقصهم التدريب والمراقبة من قبلكم. لايوجد ما يخشونه في المعرض عليك ان تبحث بنفسك عن الموظف وعند سؤال اي موظف كأن الامر لايعنيه بل يعني الموظف المختص باستفسارك ومثل اللي يقول ابحث عنه ليس لي شأن في ذلك كأن كل موظف يمثل قسمه او الركن الخاص به ولا يقوم حتى باستدعاء زميله او ان يدلك اين يمكن ان يكون. لا جماعية في العمل والجميع يعمل بشكل فردي,Positive,Negative,False
التقسيط مباشر من إكسترا من غير تابي وتمارا وجعل قسم إدارة التحصيل المتابعة المتأخرين عن السداد التوقع إقبال 1000٪,Negative,Positive,False
