CLEAN_ANSWER,LANGUAGE,EMOJIS,final_sentiment,sarcasm,suggestion,suggestion_text,suggestion_type,emotion,tone,urgency_flag,impact_level,responsible_party,action_flag
التعاقد مع شركه ذات جوده ومعروفه وقويه في السوق ل احترام العميل ووقت العميل,ar,,Negative,No,Yes,Suggests contracting with a high-quality and reputable company to ensure customer and time respect.,Operational Improvement,disappointment,polite,Yes,High,management,Yes
اقترح في موضوع النوصيل المنزلي أن تتعاونوا مع شركات نقل جيدة وليست فوضوية تتعامل مع صندوق المنتج وكأنه كيس ملابس,ar,,Negative,No,Yes,Suggests collaborating with better delivery companies to prevent mishandling of products.,Operational Improvement,frustration,frustrated,No,High,delivery team,Yes
إعطاء ثقة تامه إذا رغب العميل باخد خدمة الصيانة من اكسترا بان اكسترا ستقوم بالصيانة التامة بدون اعذار,ar,,Positive,No,Yes,Extra should provide complete and reliable maintenance service without excuses to build customer trust.,Operational Improvement,worry,professional,No,Medium,technical support,Yes
شكرا جزيلا,ar,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
Availability  of stock,en,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,management,Yes
IT personnel he is accomodating,en,,Positive,No,No,None,None,satisfaction,polite,No,Low,technical support,No
Your immediate delivery and your customer service.,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,customer service,No
Thank,en,,Positive,No,No,None,None,gratitude,grateful,No,Low,None,No
base from my experience.. there should a choices for the timing of the delivery,en,,Neutral,No,Yes,Option to choose delivery timing,Feature Request,disappointment,informal,No,Low,delivery team,Yes
عمل تخفيضات,ar,,Positive,No,Yes,User suggests offering discounts.,Feature Request,satisfaction,informal,No,Low,management,Yes
Onest,fr,,Positive,No,No,None,None,satisfaction,informal,No,Low,None,No
I am glad,cy,,Positive,No,No,None,None,joy,grateful,No,Low,None,No
Bad service,en,,Negative,No,No,None,None,disappointment,disappointed,No,Medium,None,Yes
كثرت العروض,ar,,Negative,No,Yes,Reduce the number of offers,Complaint,frustration,informal,No,Low,management,Yes
Newly bought phone got corrupted,en,,Negative,No,No,None,None,disappointment,disappointed,Yes,High,technical support,Yes
عمل عروض افضل بشكل مستمر,ar,,Neutral,No,Yes,User suggests continuously making better offers.,Operational Improvement,disappointment,polite,No,Low,sales,Yes
"طلبت زياره صيانه، اغلق الطلب بدون زياره ولا حتي تواصل و رفعت شكري ولا حيات لمن تنادي",ar,,Negative,No,No,None,None,frustration,frustrated,Yes,High,customer service,Yes
Good,so,,Positive,No,No,None,None,satisfaction,polite,No,Low,None,No
تدريب موظفي خدمة العملاء خاصة البنات لان اسلوبهم غير احترافي في التعامل مع الزبائن وحل مشكلاتهم وعدم احترامهم لزملائهم الشباب في المعرض حيث يكون الشاب معاه زبون وهي تتدخل بصورة غير جيدة واسلوب غير لا ئق تظهر الموظف والزبون لا يفهمون شي,ar,,Negative,No,Yes,"Train customer service staff, especially female employees, due to unprofessionalism in dealing with customers and disrespect towards male colleagues.",Operational Improvement,frustration,frustrated,Yes,High,customer service,Yes
More discounts for loyal customers.,en,,Positive,No,Yes,Customer suggests providing more discounts for loyal customers.,Feature Request,satisfaction,polite,No,Low,management,Yes
